Percentage served,Time in ms
0,13.524
1,15.295
2,15.330
3,15.386
4,15.488
5,15.567
6,15.590
7,15.593
8,15.594
9,15.598
10,15.600
11,15.600
12,15.601
13,15.601
14,15.602
15,15.603
16,15.605
17,15.607
18,15.607
19,15.609
20,15.609
21,15.611
22,15.611
23,15.612
24,15.613
25,15.613
26,15.614
27,15.615
28,15.618
29,15.619
30,15.620
31,15.620
32,15.621
33,15.621
34,15.622
35,15.622
36,15.623
37,15.623
38,15.624
39,15.624
40,15.624
41,15.624
42,15.625
43,15.625
44,15.625
45,15.625
46,15.625
47,15.626
48,15.626
49,15.626
50,15.626
51,15.627
52,15.627
53,15.627
54,15.628
55,15.628
56,15.629
57,15.629
58,15.630
59,15.630
60,15.631
61,15.632
62,15.632
63,15.634
64,15.635
65,15.635
66,15.636
67,15.637
68,15.638
69,15.638
70,15.639
71,15.639
72,15.641
73,15.642
74,15.643
75,15.645
76,15.647
77,15.648
78,15.649
79,15.649
80,15.650
81,15.651
82,15.652
83,15.653
84,15.653
85,15.654
86,15.656
87,15.658
88,15.669
89,15.675
90,15.774
91,15.881
92,15.916
93,15.943
94,16.047
95,16.087
96,16.408
97,17.570
98,29.470
99,31.238
100,46.868
