starttime	seconds	ctime	dtime	ttime	wait
Fri Nov 29 19:01:56 2024	1732878116	0	13	13	3
Fri Nov 29 19:02:04 2024	1732878124	0	14	14	3
Fri Nov 29 19:02:03 2024	1732878123	0	14	14	3
Fri Nov 29 19:02:00 2024	1732878120	0	14	14	3
Fri Nov 29 19:01:56 2024	1732878116	0	14	14	3
Fri Nov 29 19:02:01 2024	1732878121	0	14	14	3
Fri Nov 29 19:01:58 2024	1732878118	0	14	14	4
Fri Nov 29 19:02:03 2024	1732878123	0	14	14	3
Fri Nov 29 19:02:00 2024	1732878120	1	13	14	3
Fri Nov 29 19:02:01 2024	1732878121	0	14	14	3
Fri Nov 29 19:01:59 2024	1732878119	0	14	14	3
Fri Nov 29 19:02:05 2024	1732878125	0	14	14	3
Fri Nov 29 19:02:04 2024	1732878124	0	14	14	4
Fri Nov 29 19:01:59 2024	1732878119	0	14	14	3
Fri Nov 29 19:01:57 2024	1732878117	0	14	14	3
Fri Nov 29 19:02:02 2024	1732878122	0	14	14	4
Fri Nov 29 19:02:04 2024	1732878124	0	14	14	3
Fri Nov 29 19:01:59 2024	1732878119	0	14	14	4
Fri Nov 29 19:01:59 2024	1732878119	0	14	14	3
Fri Nov 29 19:02:01 2024	1732878121	0	14	14	4
Fri Nov 29 19:01:59 2024	1732878119	0	14	14	3
Fri Nov 29 19:02:01 2024	1732878121	0	14	14	3
Fri Nov 29 19:01:58 2024	1732878118	0	14	14	3
Fri Nov 29 19:01:59 2024	1732878119	0	14	14	3
Fri Nov 29 19:01:58 2024	1732878118	0	14	14	3
Fri Nov 29 19:02:04 2024	1732878124	0	14	14	4
Fri Nov 29 19:02:05 2024	1732878125	0	14	14	4
Fri Nov 29 19:02:02 2024	1732878122	0	14	14	3
Fri Nov 29 19:02:03 2024	1732878123	0	14	14	4
Fri Nov 29 19:02:01 2024	1732878121	0	14	14	4
Fri Nov 29 19:02:03 2024	1732878123	0	14	14	3
Fri Nov 29 19:02:03 2024	1732878123	0	14	14	3
Fri Nov 29 19:02:00 2024	1732878120	0	14	14	3
Fri Nov 29 19:02:00 2024	1732878120	0	14	14	3
Fri Nov 29 19:02:01 2024	1732878121	0	14	14	2
Fri Nov 29 19:02:03 2024	1732878123	0	14	14	4
Fri Nov 29 19:02:01 2024	1732878121	0	14	14	3
Fri Nov 29 19:02:04 2024	1732878124	0	14	14	3
Fri Nov 29 19:02:01 2024	1732878121	0	14	14	4
Fri Nov 29 19:01:58 2024	1732878118	0	14	14	3
Fri Nov 29 19:02:03 2024	1732878123	0	14	14	3
Fri Nov 29 19:02:04 2024	1732878124	0	14	14	3
Fri Nov 29 19:02:02 2024	1732878122	0	14	14	3
Fri Nov 29 19:02:00 2024	1732878120	0	14	14	3
Fri Nov 29 19:02:03 2024	1732878123	0	14	14	3
Fri Nov 29 19:02:01 2024	1732878121	1	13	14	3
Fri Nov 29 19:02:01 2024	1732878121	0	14	14	3
Fri Nov 29 19:01:58 2024	1732878118	0	14	14	3
Fri Nov 29 19:01:57 2024	1732878117	1	13	14	3
Fri Nov 29 19:01:57 2024	1732878117	0	14	14	3
Fri Nov 29 19:01:57 2024	1732878117	0	14	14	3
Fri Nov 29 19:02:02 2024	1732878122	0	14	14	3
Fri Nov 29 19:02:05 2024	1732878125	0	14	14	4
Fri Nov 29 19:02:00 2024	1732878120	0	14	14	3
Fri Nov 29 19:02:01 2024	1732878121	0	14	14	3
Fri Nov 29 19:01:57 2024	1732878117	0	14	14	4
Fri Nov 29 19:01:59 2024	1732878119	0	14	14	4
Fri Nov 29 19:02:04 2024	1732878124	0	14	14	4
Fri Nov 29 19:01:58 2024	1732878118	0	14	14	2
Fri Nov 29 19:01:59 2024	1732878119	0	14	14	3
Fri Nov 29 19:02:04 2024	1732878124	0	14	14	3
Fri Nov 29 19:02:04 2024	1732878124	0	14	14	4
Fri Nov 29 19:02:05 2024	1732878125	0	14	14	3
Fri Nov 29 19:02:03 2024	1732878123	0	14	14	3
Fri Nov 29 19:02:01 2024	1732878121	0	14	14	3
Fri Nov 29 19:02:02 2024	1732878122	1	13	14	3
Fri Nov 29 19:01:58 2024	1732878118	0	14	14	3
Fri Nov 29 19:02:03 2024	1732878123	0	14	14	3
Fri Nov 29 19:01:59 2024	1732878119	0	14	14	4
Fri Nov 29 19:01:59 2024	1732878119	0	14	14	4
Fri Nov 29 19:02:06 2024	1732878126	0	14	14	3
Fri Nov 29 19:01:57 2024	1732878117	0	14	14	3
Fri Nov 29 19:01:57 2024	1732878117	0	14	14	4
Fri Nov 29 19:02:05 2024	1732878125	0	14	14	2
Fri Nov 29 19:02:05 2024	1732878125	0	14	14	4
Fri Nov 29 19:01:57 2024	1732878117	0	14	14	2
Fri Nov 29 19:02:00 2024	1732878120	0	14	14	3
Fri Nov 29 19:01:59 2024	1732878119	0	14	14	4
Fri Nov 29 19:02:03 2024	1732878123	0	14	14	3
Fri Nov 29 19:02:03 2024	1732878123	0	14	14	4
Fri Nov 29 19:02:01 2024	1732878121	0	14	14	2
Fri Nov 29 19:02:00 2024	1732878120	0	14	14	4
Fri Nov 29 19:01:58 2024	1732878118	0	14	14	4
Fri Nov 29 19:02:05 2024	1732878125	0	14	14	3
Fri Nov 29 19:01:58 2024	1732878118	0	14	14	2
Fri Nov 29 19:02:04 2024	1732878124	0	14	14	2
Fri Nov 29 19:01:59 2024	1732878119	0	14	14	4
Fri Nov 29 19:02:05 2024	1732878125	0	14	14	3
Fri Nov 29 19:02:04 2024	1732878124	0	14	14	3
Fri Nov 29 19:02:00 2024	1732878120	0	14	14	4
Fri Nov 29 19:02:03 2024	1732878123	0	14	14	3
Fri Nov 29 19:01:58 2024	1732878118	0	14	14	3
Fri Nov 29 19:01:58 2024	1732878118	1	13	14	3
Fri Nov 29 19:02:04 2024	1732878124	0	14	14	3
Fri Nov 29 19:02:04 2024	1732878124	0	14	14	3
Fri Nov 29 19:02:05 2024	1732878125	0	14	14	4
Fri Nov 29 19:02:04 2024	1732878124	0	14	14	3
Fri Nov 29 19:02:06 2024	1732878126	0	14	14	3
Fri Nov 29 19:02:01 2024	1732878121	0	14	14	3
Fri Nov 29 19:02:03 2024	1732878123	1	13	14	3
Fri Nov 29 19:02:03 2024	1732878123	0	14	14	3
Fri Nov 29 19:01:57 2024	1732878117	0	14	14	4
Fri Nov 29 19:02:00 2024	1732878120	0	14	14	2
Fri Nov 29 19:02:00 2024	1732878120	0	14	14	4
Fri Nov 29 19:02:00 2024	1732878120	0	14	14	4
Fri Nov 29 19:02:01 2024	1732878121	0	14	14	3
Fri Nov 29 19:01:59 2024	1732878119	0	14	14	3
Fri Nov 29 19:01:58 2024	1732878118	0	14	14	3
Fri Nov 29 19:02:02 2024	1732878122	0	14	14	4
Fri Nov 29 19:01:56 2024	1732878116	0	14	14	3
Fri Nov 29 19:02:06 2024	1732878126	1	13	14	3
Fri Nov 29 19:01:56 2024	1732878116	0	14	14	4
Fri Nov 29 19:02:00 2024	1732878120	0	14	14	3
Fri Nov 29 19:01:59 2024	1732878119	0	14	14	4
Fri Nov 29 19:02:01 2024	1732878121	0	14	14	3
Fri Nov 29 19:01:56 2024	1732878116	0	14	14	3
Fri Nov 29 19:02:05 2024	1732878125	0	14	14	3
Fri Nov 29 19:01:57 2024	1732878117	0	14	14	3
Fri Nov 29 19:02:05 2024	1732878125	0	14	14	4
Fri Nov 29 19:01:59 2024	1732878119	0	14	14	4
Fri Nov 29 19:02:05 2024	1732878125	0	14	14	3
Fri Nov 29 19:02:01 2024	1732878121	1	13	15	3
Fri Nov 29 19:02:05 2024	1732878125	0	15	15	3
